,page_num,text
0,0,
1,1,
2,2,
3,3,
4,4,
5,5,
6,6,
7,7,
8,8,
9,9,
10,10,
11,11,
12,12,
13,13,
14,14,
15,15,
16,16,
17,17,
18,18,
19,19,
20,20,
21,21,
22,22,"  Page 1 of 19 pages   Direction for General Regulation Concerning Jointly Owned Properties  Chapter One Definitions and General Provisions  Article (1) Terms used in the Law  In these R egulations , the terms and expressions defined in Article ( 2) of the Law No. (27) of 2007 concerning Jointly Owned Properties in the Emirate of Dubai shall have the same meanings assigned to them in the said Article, and any reference to the word âLawâ in these regulations shall mean the mentioned Law.  Article (2) Definitions  The following words and expressions, unless the context otherwise dictates, shall have the following meanings:  Aggregate Entitlements: The total of all the Entitlements in a Jointly Owned Property Declaration.  Association Manager: The person appointed as Association Manager in accordance with the Owners Associationâs Constitution.  Association Manager Agreement: An agreement under which an Owners Association appoints and delegates to an Association Manager.  Common Elements: In relation to a building comprising Compon ents, those parts of the building (including services, equipment and facilities) which will be used by one or more of the Components.  Community Rules: The rules set out in the Jointly Owned Property Declaration.  "
23,23,"  Page 2 of 19 pages Component: Where a building has been subd ivided by Volumetric Subdivision into two or more component parts each of which is intended for separate ownership and use, either as Jointly Owned Property or otherwise, one of those component parts.  Component Owner: The owner of a Component.  Consumer: An individual or corporate entity who is purchasing, or proposes to purchase, a Proposed Unit and who is not a Developer.  Developer A Master Developer or a Sub  Developer.  Directions: The cadastral survey directions issued by the Department in accorda nce with Regulation No. ( ) of 2010 Concerning Preparation of Survey Plans in the Emirate of Dubai.  Disclosure Statement: A written statement under article (4).  Proposed Unit A Unit:  (a) in a project under construction or proposed to be constructed which will upon completion of construction become subject to a Jointly Owned Property Declaration; or (b) in a completed project where the title to the Unit has not been issued by the Department and the seller of the Unit is a Developer.  RERA: The Real Estate R egulatory Agency.  Supply Agreement An agreement for a term of not less than one year for the supply of goods or services, including Utility Services, to an Owners Association either directly or through a Building Management Statement.  Volumetric Subdivis ion A subdivision of a building and the plot of land on which it is situated into two or more volumetric plots, each volumetric plot being defined in the manner prescribed by the Department and comprising part of the building.   "
24,24,"  Page 3 of 19 pages  Article (3) Giving eff ect to the Regulation  (1) This Regulation takes effect on the day it is signed by the Chairman.  (2) The Director General of the Department shall issue decisions, instructions and forms to give effect to and enforce this Regulation.  (3) The Director Gen eral may by instrument in writing delegate any power, authority, duty or function conferred on him or the Department by this or any other Regulation under the Law, to RERA .  Chapter Two Disclosure Statements and Consumer Protection  Article ( 4) (1) Befor e a Consumer signs a contract to buy a Proposed Unit from a Developer, the Developer must give to the Consumer a written statement signed by a representative of the Developer setting out the following information:  (a) a description of the building or project of which the Proposed Unit will be part, including â (i) the intended land uses within the building or project (e.g. residential, furnished or hotel apartments , retail , offices, multi  uses â¦ etc ); (ii) any features of, or equipment or services included in, the bui lding or project that contribute to ecological sustainable development; (iii) any ecological sustainable development rating that applies to the building or project, including details of the specifications authority; (iv) any special use that applies to the Proposed U nit (e.g. furnished or hotel apartment); (v) facilities on the proposed Common Areas that will be available for use by Owners and Occupiers as of right; (vi) facilities within the building or project that will be available for use by Owners and Occupiers on a comme rcial basis; and (vii) items of furniture and furnishings (if any) for the proposed Common Areas and the Proposed Unit that "
25,25,"  Page 4 of 19 pages the Developer commits to make available without additional charge;  (b) a copy of the proposed Jointly Owned Property Declarations; (c) a copy of any proposed Building Management Statement; (d) a draft land plan for the Proposed Unit clearly showing the areas of the Unit required by the Directions to be shown on the plan for registration purposes, but showing no other areas; (e) a schedule of materials and finishes for both the proposed Common Areas and the Proposed Unit; (f) a copy of any Supply Agreement to be entered into by the proposed Owners Association; (g) a budget prepared on a reasonable basis having regard to the Association Constitution for both the gen eral fund and reserve fund for the first two financial years of operation of the proposed Owners Association; (h) an estimate, based on that budget, of the service charges payable in respect of the Proposed Unit to each of those funds during those two financia l years; (i) proposed arrangements for the supply of Utility Services to the Jointly Owned Property and the Unit; (j) where any Utility Service will be provided by a non  Dubai Government entity, other than the Owners Association â (i) the name of the entity that w ill provide the Utility Service; (ii) whether the entity is related to the Developer; and (ii) a reasonable estimate of the annual cost of the Utility Service to the Proposed Unit; (k) whether the Owners Association will on  sell any Utility Service to Unit Own ers and, if so, details of the supply arrangements; (l) whether construction has commenced and if not, the estimated date for completion of construction; (m) the estimated date on which the property will be handed over to the purchaser; and (n) a statement directing t he purchaserâs attention to their obligation to register the contract in the interim or permanent real estate register , as applicable, in accordance with the related laws. (2) Before a Consumer enters into a contract to sell a Proposed Unit that they are purchasing from a Developer or another Consumer they must give the purchaser from them a complete copy of the statement they received upon buying the Proposed Unit .    "
26,26,"  Page 5 of 19 pages  Article (5) Missing, Inaccurate or Incomplete Disclosure Statements  (1) If a De veloper fails to give a statement under sub  clause (1) of article (4), then the contract in respect of which the statement should have been given is void and of no effect.  (2) If a Consumer fails to provide a copy of a statement in accordance with sub clause (2) of article (4), then the contract in respect of which the copy statement should have been provided is void and of no effect.  (3) The Developer is deemed to have warranted the information in a statement given under sub  clause (1) of article (4) an d if within two years of the date on which the Unit is transferred from the Developer any of that information is found to be inaccurate or incomplete in a material way the Developer will be liable to the Consumer to whom the Unit is transferred for damages , whether the Consumer purchased from the Developer or another Consumer.  Article (6) Completion Certificate Information  Upon handing over to the purchaser of a Proposed Unit that is a building or part of a building, the Developer must advise the purcha ser in writing of the date of the completion certificate for the building. The purchaser may rely upon this advice for the purpose of the warranties in article 26 of the Law.  Article ( 7) Financial Matters  (1) Subject to any contractual provision existin g at the date of commencement of these Regulations, a Developer is responsible for all costs and expenses associated with a plot prior to that plot becoming Jointly Owned Property.  (2) Once a plot becomes Jointly Owned Property, the Owners Association for that Jointly Owned Property becomes responsible for all costs and expenses associated with that Jointly Owned Property that are rightly attributed to it by the Law, and the regulations , resolutions and directions made under the Law. "
27,27,"  Page 6 of 19 pages (3) A Developer must bear all costs associated with the rectification of defects in Jointly Owned Property and must ensure that no such costs are passed to an Owners Association. Where this Article is breached the Owners Association may recover the costs from the Developer.  (4) After the date of commencement of these Regulations, the Developer or any Sub Developer must not seek to shift responsibility for the costs and expenses referred to in sub  clause (1) of this article to any Owners Association or Consumer and any provisio n purporting to do so shall be void and of no effect.  (5) A Developer must pay the payable fees to the Department upon registration of the Owners Association.  (6) Sub clause (4) of this article does not apply to any insurance premiums or other deposits . (7) Amounts paid in advance by the Developer and relating to coverage, goods or services to be provided or delivered after constitution of the Owners Association shall be reimbursed, provided:  (a) if the amount is payable by or to be borne by the Owners Asso ciation, the amount does not exceed the amount that would have been payable by the Owners Association had it paid for the insurance premium or other deposit itself; or (b) if the amount is payable by or to be borne by a Consumer, the amount does not exceed the proportion of the insurance premium or other deposit that would have been payable by the Consumer had the premium or expense been paid by the Owners Association from funds raised from service charges.  (8) A Developer must bear the fees for connecting uti lities to the project and may not claim the amounts paid in this respect from the Purchasers of the units or Owners or the Associat ion. (9) A Developer must not collect service charges or Utility Charges obtaining a written approval from RERA . (10) Where a Developer has collected service or other charges from purchasers of Units or Proposed Units the Developer must within 3 months of the date on which the Owners Association was formed:  (a) have a registered auditor undertake an audit of all moneys received and expended who must certify: "
28,28,"  Page 7 of 19 pages (i) that the moneys have been properly expended in accordance with the purpose of the Service Charges or Utility Charges ; and  (ii) the reconciled balance of unexpended funds held by the Developer;  (b) within 21 days of the Owners Ass ociation being constituted for the units or land concerned, pay to the Owners Association any funds held by the Developer on behalf of the Owners Association and when the audit report is received , the reconciled balance of unexpended funds so certified; an d (c) within 21 days of being so directed by the Department, pay to the Owners Association the whole or part of the amount of any moneys that were not properly expended in accordance with the purpose of the service or other charge, as certified by the audito r.  (11) Before making a direction under paragraph (c) of sub  clause ( 10) of this article, RERA must serve a written notice on the Developer setting out particulars of the improper expenditure and the reasons why RERA believes that the money should be pai d to the Owners Association.  (12) Where a Developer has used service or other charges raised from purchasers of Units or Proposed Units to acquire goods or equipment and such goods or equipment are still in existence as at the date of constitution of the Owners Association constituted by those purchasers, then the Developer must transfer ownership and possession of such goods and equipment to the Owners Association. RERA may adjudicate on any issues arising out of this requirement.  (13) A provision in a Sale and Purchase Agreement, whether relating to a Proposed Unit or an existing Unit, must not conflict with the Law, this regulation or any other regulation made under the Law and is invalid to the extent of any such conflict.  Article ( 8) Requirements f or Filing  (1) A Building Management Statement shall be filed in the circumstances set out in article 27(2) of the Law, and shall comply with the provisions of this regulation as well as resolutions and directions issued by RERA. "
