,page_num,text
0,0,"Our Vision: To be a global real estate leader in attracting investments. Our Mission: To create a real estate environment that applies best international practices to guarantee the rights of all stakeholders, and to contribute to the development of society by: â¢Developing and applying clear and transparent real estateregulations â¢Providing distinctive and effcient real estate services that helpattract investment â¢Increasing real estate knowledge"
1,1,
2,2,Chapter I EJARI Program 
3,3,"6 Tenancy GuideAbout EJARI EJARI is an online program developed by RERA for recording tenancy contracts for all types of property in the Emirate of Dubai, pursuant to Law No. 26 of 2007, as amended by Law No. 33 of 2008. EJARI is the frst step to regulate the process of real estate lease and management. It helps upgrade this important sector and provides distinctive real estate services in terms of registration and regulation. The program aims to preserve rights, regulate the relations between the parties to property lease and management, and to provide encouraging and safe environment for those wishing to engage in this feld, including investors or benefciary tenants. EJARI Mechanisms Tenancy Contract Registration As the registration of tenancy contracts through EJARI is mandatory, plans have been developed to connect all those engaged in property lease and management sector, including licensed companies in this feld, companies which own and manage properties, or landlords who manage their properties on personal basis, or their legal representatives, and enable them to register and issue contracts. Registration of Management Contracts Management contracts concluded between the property owner and the licensed real estate company is registered through EJARI. This contract determines responsibilities and obligations between the parties to the contract, especially in terms of property management, services provided to tenants, issuance and registration of lease contracts, legal follow ups, rent collection, maintenance and other obligations. The objective of registration of the management contract is to enable the company to obtain information of the registered property, perform any authorized operations under the management contract, including the registration of tenants and processes associated with the lease contracts, such as rental, renewal, and eviction during the period of the management contract. "
4,4,"7 EJARI Program     Training on Using EJARI There is a training program for using EJARI in order to qualify people who need to use it. Arrangements have been made with Dubai Real Estate Institute in this regard in order to send registered persons to be trained and awarded certifcates. Access to EJARI is given to the persons who have obtained the training certifcates that allow them to record data and issue tenancy contracts directly through the website. Documents Required for Registration in EJARI Users Owner Manager (Individual): The person who manages the property which is only personally owned. No license is required in this respect. Required Documents: 1.Passport copy. 2.Copy of the title deed of any owned property (to verify the number of the owner). Owner Manager (Company): The entity (company) which manages the property owned by the company only (i.e. the property registered in the name of the company). This company may have different activities, such as a shopping mall, commercial center, or a governmental or quasi governmental body. Required Documents: 1.Copy of the trade license 2.Copy of the title deed of any property owned by the company (to verify the owner number). 3.Copy of the passport of the offcial representative of the company (manager) 4.Letter from the company that identifes the names of users who will be qualifed for using the program. 5.Copies of the passports of the employees nominated to use the program Property Management Companies A company involved in property management licensed by the Department "
5,5,"8 Tenancy Guide      of Economic Development to carry out any of the following activities: Property lease and management on behalf of third parties: (This activity gives the company the power to rent property from owners, and then releasing them to third parties). Lease and management of private property: (This activity grants the company the power to manage the property of the licensor and his relatives only). Property administrative supervision services: (This activity gives the management company the power to manage the ownersâ property under a management contract between the company and the owner, in which the owner determines the authority granted to the company to manage the property for him. Shopping centers and malls Businessmen service centers Department stores and retail shops Required Documents: 1.Copy of the trade license 2.Copy of the passport of the offcial representative of the company (manager) 3.Letter from the company that identifes the names of users who will be qualifed for using the program. 4.Copies of the passports of the employees nominated to use the program Representative of the owner (agent) The person who represents the owner under the power of attorney granted by the owner, or an owner in a group having joint ownership of the property, represented by a power of attorney issued by them, or under legal guardianship (such as a receiver, a guardian of minors, or a representative of the heirs). Required Documents: 1.Copy of the owner passport (whether an individual or a group of owners) 2.Copy of the passport of the agent 3.Copy of the power of attorney and/or (guardianship order or the order appointing the receiver) "
6,6, Chapter II How to Register Lease Contracts with RERA 
7,7,"10 Tenancy Guide      The owner who personally manages the property (no property management license is required) 1.Completing the property management statement form (CD) which includes the property and lease contract information. 2.Attaching the required documents, namely: 1.Passport copy 2.Copy of the title deed and land map (Land Department) 3.Copy of the power of attorney of one of the owners, in case of joint ownership of the property Owner Obligations: 1.If the owner delegates the property management to a property management company, the owner shall observe the following: 2.The company shall be licensed and registered by RERA and its business shall include property lease and management to third parties, or property administrative supervision (verifying the trade license). 3.Signing a management contract with the company, which identifes the parties to the contract, property details, the obligations of each party, management fees, and the contract period. In the event the building is rented in full, the company shall be licensed to conduct the business of property lease and management on behalf of third parties. 4.The person signing on behalf of the company shall have capacity (offcially authorized). 5.There shall be a premises for the property management company (fxed address) In case the owner leases and manages the property by himself, the owner shall observe the following: 1.The property should be owned by (granted to) the applicant and its ownership should not be disputed by any other persons. 2.In the event the property is jointly owned, there should be a power of attorney by the owners to the applicant authenticated at the notary public. 3.The property granted by the government shall not be a popular house and shall be designated as family residence for the person to which it is granted "
8,8,"11 How to Register       only, subject to the conditions laid down by the government bodies. 4.The property shall not be mortgaged for any party that prescribes non investment (such as Etisalat, certain banks, and donors). 5.The property shall not be fnanced by Zayed Housing Project or Mohammad bin Rashid Housing Establishment. 6.There shall be no amendment or violations in respect of the property plan, and the property shall be constructed according to the applicable conditions and standards stipulated by the regulations in the Emirate of Dubai, according to the completion certifcate issued by Dubai Municipality, and the licenses granted for use and specifcations. 7.The property shall satisfy safety and security conditions (civil defense statement). 8.The purpose of lease and use shall be specifed and shall comply with the authorized conditions in the Emirate of Dubai according to area designation (residential, commercial, industrial, etc.) 9.In the event the property is leased in whole or in part (supplement, part of villa, or any additions), this shall be indicated and the plans approved by Dubai Municipality shall be submitted. 10. In the event of partial lease of the property, an independent electricity meter shall be installed for the part intended to be leased, and the procedures shall be completed and approvals shall be obtained from Dubai Electricity and Water Authority. 11. The party responsible for maintenance shall be identifed and a maintenance contract shall be procured from a building maintenance company. 12. The facilities and services available in the property, the extent to which the tenants may use these facilities, and the obligations to be complied with shall be identifed (e.g. swimming pools, gyms, gardens, parking lots, etc.) 13. The party responsible for cleaning and security of the property and facility management shall be identifed. 14. The specifcations and total area of the property and the area of the leased part shall be identifed (in the event of partial lease). 15. Insurance shall be maintained in respect of the property at one of property insurance companies. 16. The rent value of the property shall be identifed. 17. The duration of the lease contract shall be identifed. "
9,9,"12 Tenancy Guide      18. The insured sum agreed upon by the landlord and the tenant shall be identifed. 19. The landlord shall undertake to comply with RERA regulations and Landlords and Tenants Law issued in the Emirate of Dubai. 20. The landlord undertakes to authenticate the lease contract at RERA and present the documents and tenant information for each contract (lease or renewal). 21. The landlord undertakes not to issue more than one contract for the leased property and for only one person or one entity. 22. In the event the contract with the tenant is terminated, the fnal water and electricity invoice shall be presented, along with the settlement with the former tenant. 23. No new contract shall be registered for a new tenant of the formerly leased property before ending the contract with the former tenant and presenting the settlement and the fnal water and electricity invoice. The tenant shall be inquired about the following documents: 1.Passport copy, if the tenant is an individual (name, passport number, residence permit, and expiry dates of the passport and residence permit). 2.Trade license, if the tenant is a company (trade name, license number, expiry date). The tenant: In the event of dealing with the landlord directly, the following procedures shall apply: 1.Verifying property ownership. 2.Passport photocopy of the landlord (name, etc.) 3.Photocopy of the power of attorney given to one of the landlords, in the event of joint ownership, authorizing him to manage the property. 4.Verifying that there are no construction violations (unlicensed additions or amendments). 5.Verifying the type of the licensed use of the building (residential, commercial) 6.Registering all information of the lease contracts (property type, unit, rent amount, landlord name, type of use, land number) "
10,10,"13 How to Register       7.Reading the contract clauses to identify the obligations of both parties. 8.The electricity meter shall be transferred to the name of the tenant upon signing the contract. In the event of dealing with property management company: 1.Copy of the lease contract between the landlord and the company (verifying the name of the landlord, contract period). 2.Copy of the land ownership and map (verifying the name of the landlord, location, property type, and use). 3.Copy of the trade license to verify the name of the company, type of the licensed activity, and whether it is authorized to lease and re lease. 4.The contract clauses shall be read to identify the obligations of both parties. 5.All information shall be registered in the lease contract (landlord name, name of the leasing company, property type, land type, rent value, and contract period) 6.Payments shall be in the name of the owner of the property or the name of the leasing company only and not in the name of any other persons. 7.There shall be premises for the company (an offce) and its address shall be identifed. 8.The electricity meter shall be transferred upon signing the contract. In the event of dealing with a private property lease and management company: 1.Property ownership shall be verifed, so that the property shall be owned by the company itself, the company owner, or his frst degree or second degree relatives, according to the granted license. 2.Copy of the trade license (verifying the trade name, type of license, etc.) 3.The contract clauses shall be read to identify the obligations of both parties. 4.All information shall be registered in the lease contract (landlord name, name of the leasing company, property type, unit type, rent value, and contract period) 5.Payments shall be in the name of the owner of the property or the name of the leasing company only and not in the name of any other persons. 6.There shall be premises for the company (an offce) and its address shall be identifed. "
11,11,"14 Tenancy Guide       7.The electricity meter shall be transferred upon signing the contract. In the event of dealing with a company licensed for property management supervision business: 1.Copy of the management contract concluded between the landlord and the company (to verify the name of the company and the landlord, property type and specifcations, and the contract period). 2.Trade license of the company (company name, business type, expiry date, etc). 3.The contract clauses shall be read to identify the obligations of both parties. 4.All information shall be registered in the lease contract (landlord name, name of the leasing company, property type, unit type, rent value, and contract period) 5.Payments shall be in the name of the owner of the property only and not in the name of the company or any other persons. 6.The electricity meter shall be transferred to the name of the tenant upon signing the contract. In the event the lessor (landlord/property management company) does not register the lease contract, i.e. registration through the tenant, the required documents shall be as follows: 1.Copy of the tenant passport, if the tenant is an individual 2.The original contract, or a copy thereof 3.Electricity and water invoice of the last month (the meter shall be in the name of the tenant). 4.Copy of the trade license, if the tenant is a company. 5.Copy of the land map or the title deed of the property. Instructions to be complied with for registering lease contracts at the printing offces. 1.The applicant for registration of the lease contract shall be relevant to the transaction, i.e. either the owner of the property or the tenant (the identity and capacity shall be verifed). 2.The applications fled by the real estate companies shall not be accepted and the company shall be obliged to register the contracts through EJARI. "
12,12,"15 How to Register      3.The lease contract shall be effective. 4.The applicant for registration of the lease contract shall fll the online form, shall undertake and declare the accuracy of the information and addresses (phone numbers and email address), and shall assume responsibility in the event of any mistake by signing the form on the designated place. In the case of a company, the seal of the company (whether a tenant or a landlord) shall be affxed in the designated place. 5.The property or the unit shall be registered at the Land Department (title deed in the name of the owner) 6.The purpose of lease and type of use shall be identifed and shall be according to the conditions applicable in the Emirate of Dubai according to designation of areas (as mentioned in the lease contract, residential, commercial, industrial). 7.The contract shall not be restricted by the condition of non investment, such as using it as a family accommodation, popular house, or funded by entities that prescribe non investment, such Sheikh Zayed Project, and Mohammad bin Rashid Housing and Telecommunications Establishment. 8.There shall be no amendments or violations to the property plan and the property shall be constructed according to the conditions and applicable standards provided for in the Emirate of Dubai regulations, including the completion certifcate issued by Dubai Municipality (i.e. the lease contract of one room in an apartment, a villa consisting of a number of rooms, or part of an Arab house, i.e. joint accommodation, shall not be registered). 9.Sublease contracts (between one tenant and another) shall not be registered. 10. Attention shall be paid to the contract duration and property type (for instance, if the lease property is an open land and the lease contract is for construction buildings to be invested for a long time, the lease contracts shall not be registered), because it shall be considered musataha (land rental contract) rather than a lease contract. 11. The information stated in the form shall be matched with the information stated in the documents and lease contract. 12. All required documents shall be provided, verifed, and uploaded to the system, as follows: The original lease contract and a copy thereof (the name of the tenant, landlord, and lessor, the commencement and expiry date of the contract, "
13,13,"16 Tenancy Guide    the registered rent value, property and unit number, and the purpose of the lease shall be verifed). In the event the original contract is not provided, the transaction shall not be accepted. DEWA invoice for the last month (the name shall be verifed, the meter shall be in the name of the tenant, date, unit number, the address stated on the invoice and name of the landlord shall be verifed and matched with the contract) Copy of the land map or the title deed of the property (the land number, landlord name, and the location of the registered property shall be verifed and matched with the information stated in the lease contract). Copy of the tenant passport, if the tenant is an individual (the tenant name, nationality, passport number, and residence permit number, and the expiry dates thereof shall be verifed and matched with the information stated in the lease contract) Copy of the trade license, if the tenant is a company (trade name, trade license number and expiry date, and the address of the company registered in the license shall be verifed and matched with the information stated in the lease contract). In the event of a dispute between the lessor and the tenant 1.Registering the lease contract. 2.The parties shall refer to the competent authority to settle the dispute according to the applicable procedures. Documents required for registration in EJAR as users Owner Manager (Individual): The person who manages the property which is only personally owned. No license is required in this respect. Documents required: 1.Passport copy 2.Copy of the title deed of any property owned (to verify the number of the owner). Owner Manager (Company): The entity (company) which manages the property "
14,14,"17 How to Register       owned by the company only (i.e. the property registered in the name of the company). This company may have different activities, such as a shopping mall, commercial center, or a governmental or quasi governmental body. Required Documents: 1.Copy of the trade license 2.Copy of the title deed of any property owned by the company (to verify the owner number). 3.Copy of the passport of the offcial representative of the company (manager) 4.Letter from the company that identifes the names of users who will be qualifed for using the program. 5.Copies of passports of the employees nominated to use the program Property Management Companies A company involved in property management licensed by the Department of Economic Development to carry out any of the following activities: Property leasing and management on behalf of third parties (This activity gives the company the power to rent property from owners, and then releasing them to third parties). Rental and management of private property: (This activity grants the company the power to manage the property of the licensor and its relatives only). Property administrative supervision services: (This activity gives the management company the power to manage the ownersâ property under a management contract between the company and the owner, in which the owner determines the authority granted to the company to manage the property for him. Shopping centers and malls Businessmen service centers Department stores and retail shops Required Documents: 1.Copy of the trade license 2.Copy of the passport of the offcial representative of the company (manager) 3.Letter from the company that identifes the names of users who will be qualifed for using the program. "
15,15,"18 Tenancy Guide  4.Copies of the passports of the employees nominated to use the program. Representative of the owner (agent) The person who represents the owner under the power of attorney granted by the owner, or an owner in a group having joint ownership of the property, represented by a power of attorney issued by them, or under legal guardianship (such as a receiver, a guardian of minors, or a representative of the heirs). Required Documents 1.Copy of the landlord passport (whether an individual or joint owners). 2.Copy of the agent passport 3.Copy of the power of attorney and/or (custody order or receiver appointment order) "
16,16,Chapter III Tenancy Regulating Legislations 
