,page_num,text
0,0,Emirates Book Valuation Standards (EBVS) 
1,1,Emirates Book Valuation Standards (EBVS)
2,2,Emirates Book Valuation Standards (EBVS)
3,3,CONTENT Director message of Land Department   Dubai Pg. 05 Acknowledgement for strategic partners Pg. 06 Introduction Pg. 08 PART ONE The Emirates Book Valuation Standards framework Definitions included in the Emirates Book Valuation Standards (EBVS). Pg. 11 Objectives of the Emirates Book Valuation Standards (EBVS). Pg. 13 General Bases of the Emirates Book Valuation Standards (EBVS). Pg. 15 Measuring spaces according to the Emirates Book Valuation Standards (EBVS) and International Property Measurement Standards (IPMS).Pg. 22 PART TWO General standards included in the Emirates Book Valuation Standards (EBVS) EBVS 101: Scope of work (contract terms) Pg. 25 EBVS 102: Verification and Compliance Pg. 28 EBVS 103: Reports Preparation Pg. 31 EBVS 104: Bases of value determination Pg. 34 EBVS 105: Valuation methods and approaches Pg. 39 PART THREE Other standards included in Emirates Book Valuation Standards (EBVS) EBVS400: Property Interests Pg. 47 EBVS410: Real Estate Development Pg. 52Emirates Book Valuation Standards (EBVS) 4 Emirates Book Valuation Standards (EBVS)4CONTENT
4,4,"Emirates Book Valuation Standards (EBVS) تايوتحملا 5 Emirates Book Valuation Standards (EBVS)5CONTENT DIRECTOR MESSAGE HE SULTAN BUTTI BIN MEJREN DIRECTOR GENERAL, DUBAI LAND DEPARTMENT Real Estate appraisal is one of the most important bases of the real estate industry. It determines the real value of all real estate types and those who work in the valuation profession follow international standards and Emirates Book Valuation Standards (EBVS) to be transparent and professional. Land Department in Dubai is a leader in real estate valuation and follows international systems of high accuracy, transparency, efficiency and professionalism which results in an outstanding performance by the department in all different services it offers for its clients. Real estate appraisal contributes hugely in supporting investment development and building trust in real estate investors by organizing and managing real estate values, supporting demand and supply equation, and reducing speculative bubbles in real estate market. Today, we publish Emirates Book Valuation Standards (EBVS) to be the guide and reference for workers in the real estate market since it includes the bases of real estate valuation and international valuation standards which reflects Land Department›s commitment to international standards for real estate appraisal. The Real Estate Reg ulatory Agency   the organizational arm for Land Department  works to increase the efficiency of real estate companies to increase investor confidence and to encourage foreign direct investment by enhancing and implementing international standards and establishing unified systems and appropriate international standards as well as creating an accurate and reliable database. "
5,5,"Emirates Book Valuation Standards (EBVS) DIRECTOR MESSAGE 6THANKS TO THE STRATEGIC PARTNERS Land Department in Dubai thanks the strategic partners who provided support in preparing the book, and they are:  International Valuation Standards Council  Royal Institution of Chartered Surveyors  The Evaluation Group of valuers Associations  All companies that work in the real estate appraisal in Dubai "
6,6,Emirates Book Valuation Standards (EBVS) DIRECTOR MESSAGE 7 
7,7,"Emirates Book Valuation Standards (EBVS) INTRODuCTION 8INTRODuCTION Emirates Book Valuation Standards (EBVS) follows International Valuation Standards (IVS) and implements them fully. It is considered a complementary addition at the regional level to these international standards. International Valuation Standards (which can be downloaded via: www.ivsc.org) is part and parcel of Emirates Book Valuation Standards. International Valuation Standards consist of mandatory requirements that must be followed for the valuation process to be complete according to International Valuation Standards. Such requirements do not impose specific aspects of standards or a particular course of action, but rather presents essential principles and perceptions that should be considered during the valuation process. International Valuation Standards consist of general standards and assets standards. Assets standards include requirements related to certain types of assets and should be followed with the general standards when valuing any type of asset. They also include specific background information about the properties of each type of asset that affects the value as well as additional requirements related to assets and the methods and approaches used during valuation. When conducting a real estate appraisal, Emirates Book Valuation Standards must be read first with the general standards and assets standards included in the International Valuation Standards ‘IVS400: Property Interests’ and ‘IVS410 : Real Estate Development. Emirates Book Valuation Standards consists of mandatory requirements which Dubai Land Department imposed, and they must be followed for the valuation process to be conducted under the laws and regulations of the department and the Real Estate Regulatory Agency as well as according to the Emirates Book Valuation Standards."
8,8,"Emirates Book Valuation Standards (EBVS) INTRODuCTION 9This section is an introduction for Emirates Book Valuation Standards. The framework presents the general bases for valuers who follow this book regarding objectivity, judgement, jurisdiction and acceptable exceptions to the International Valuation Standards.SECTION ONE GENERAL FRAMEWORK OF REAL ESTATE APPRAISAL These standards determine Dubai’s requirements for all real estate appraisal tasks, including valuation contract terms, value determination bases, methods and approaches of valuation and preparing reports. These standards are designed to be followed with the international standards applied regarding valuation works for all types of assets and for any purpose of the valuation purposes.SECTION TWO GENERAL STANDARDS FOR EMIRATES BOOK VALUATION STANDARDS This section shows other standards related to real estate, ownership and controlling interests. This section also discusses concepts such as freehold, leasehold, non freehold and real estate development concepts.SECTION THREE OTHER STANDARDS IN THE EMIRATES BOOK VALUATION STANDARDSEMIRATES BOOK VALUATION STANDARDS (EBVS)	IS	DIVIDED	AS	FOLLOWS:"
9,9,Emirates Book Valuation Standards (EBVS) INTRODuCTION 108004488PART ONE EMIRATES BOOK VALUATION STANDARDS FRAMEWORK
